tweet_id,full_text,mp_party,mp_name,created_at,label_1,label_2,label_3,label_4,label_5,majority_vote,tie_break,final_label
1367122174767730690,"Expropiaron los pisos de “grandes propietarios” y no dije nada porque no era un gran propietario.

Okuparon la del vecino y no dije nada porque no era la mía.

¿Sabéis cómo sigue el poema? https://t.co/3V49jts78s",PP,Eduardo Carazo Hermoso,2021-03-03 14:38:21+00:00,-1,-1,-1,-1,-1,-1,,-1
1389106427235610625,"Este gobierno trabajará para asegurar que las personas con discapacidad disfrutan del derecho a la vivienda en condiciones de accesibilidad, asequibilidad y respetando sus decisiones para vivir en la comunidad.
#ConvenciónDiscapacidad https://t.co/Nz9lRu4Fce",UP,Ione Belarra,2021-05-03 06:35:55+00:00,0,1,0,1,1,1,,1
1413528633147379719,Una altra agressió homòfoba a tres nois a la Marina de Port https://t.co/OYiQO4PeV6,PSOE,Arnau Ramírez Carner,2021-07-09 16:01:02+00:00,-1,-1,-1,-1,-1,-1,,-1
1406612484161744899,"Ante nuestros cargos públicos municipales de #Andalucía, el @PSOE ha presentado hoy en #Sevilla la #PonenciaPSOE, un justo reconocimiento a la labor de todos los alcaldes y alcaldesas socialistas y su aportación constante para mejorar la democracia y el servicio a la ciudadanía. https://t.co/NrGXxmc34L",PSOE,Alfonso Rodríguez Gómez de Celis,2021-06-20 13:58:44+00:00,0,1,1,1,1,1,,1
1359470515862306816,"TVE cruza todas las líneas rojas con su #manipulacionRTVE 👉🏻 hoy contra la Princesa de Asturias, un ataque más a la Corona. 

❌ La televisión de todos no puede estar fuera de la Constitución ❌ https://t.co/uKpf1Rrc28",PP,Eduardo Carazo Hermoso,2021-02-10 11:53:23+00:00,-1,-1,-1,-1,-1,-1,,-1
1417377420810858527,"“El ‘caso Mikel Zabalza’ en un Estado de derecho” 

✍️ Por Odón Elorza / Vía @el_pais 

... Un análisis objetivo de los datos no hacía creíble la versión oficial de su muerte en medio de declaraciones confusas por parte de las autoridades.

https://t.co/TJWFutB5Np",PSOE,Odón Elorza González,2021-07-20 06:54:45+00:00,0,0,0,0,-1,0,,0
1378039217343893514,"Hallado en la playa de Kamilo Point, en Hawai, el «plastiglomerado» es una roca que se forma cuando los detritos plásticos se funden –quizás en una fogata– con arena, rocas, conchas y coral. https://t.co/SY4idYaKNB",PSOE,Daniel Senderos Oraá,2021-04-02 17:38:46+00:00,0,0,0,0,0,0,,0
1421028156429983747,"Porque defendemos la familia, pedimos incorporar la perspectiva de familia en toda la legislación.

Iniciativa que muestra los valores que defendemos en @vox_es y en cuya defensa #SoloQuedaVox https://t.co/hcNFRrsKoz",VOX,Pablo Sáez Alonso-Muñumer,2021-07-30 08:41:28+00:00,0,1,1,1,1,1,,1
1392816048936824837,"Hem registrat bateria de preguntes al Gobierno ES amb relació a l’excessiu i innecessari ús de força contra manifestants a #ColombiaSOS 

Hi ha moltes persones mortes, ferides, detencions arbitràries, tortura, violència sexual, desaparicions, violències contra Pobles Indígenes https://t.co/5JP2hnEjLR",ERC-Sob,Maria das Graças Carvalho Dantas,2021-05-13 12:16:37+00:00,0,-1,0,0,-1,0,,0
1414576161020129280,"Els meus millors desitjos també per al meu estimat @miqueliceta. 

No tinc cap dubte que serà un gran ministre de @culturagob.

Molta sort i encerts en aquesta nova responsabilitat!

#PSC/❤️ https://t.co/dW7qntJBYh",PSOE,Meritxell Batet,2021-07-12 13:23:32+00:00,1,1,1,1,1,1,,1
1408711903745122309,"¿Consecuencias? ¿Qué consecuencias? 

Leed el art.134.6 de la Constitución: “Toda enmienda que suponga disminución de ingresos presupuestarios requerirá conformidad del Gobierno”

Ya está bien de bravuconadas, amenazas y chulerías

Aceptad de una vez que perdisteis las elecciones https://t.co/V2k2YAf4Tt",PSOE,Rafael Simancas,2021-06-26 09:01:05+00:00,-1,-1,-1,-1,-1,-1,,-1
1369034151995772936,"Masclisme “de viejo cuño”

El arzobispo de Oviedo equipara el feminismo con el machismo y habla de un ""abuso de nuevo cuño"" | Público https://t.co/hankoudHKA",Junts,Jaume Alonso-Cuevillas,2021-03-08 21:15:51+00:00,-1,-1,-1,-1,-1,-1,,-1
1394400760172003334,Ceuta invadida. https://t.co/Ui4WrxESLf,VOX,María Teresa López Álvarez,2021-05-17 21:13:42+00:00,0,-1,-1,-1,-1,-1,,-1
1413074088046874627,"El #ecodiseño no solo se preocupa por lo útil y bello que puede ser un objeto, cualidades ambas fundamentales de un buen diseño, sino que además se cuestiona el impacto ambiental que va a tener el objeto diseñado. https://t.co/JFTpzHvc3S",PSOE,Daniel Senderos Oraá,2021-07-08 09:54:50+00:00,0,0,0,0,1,0,,0
1417912581138829316,"Un placer compartir con @andreuespasa y @EstefaniaJoaq una reflexión sobre el New Deal y sus ecos democráticos en la actualidad. 

Vivimos una situación histórica muy diferente, pero nuestro reto es el mismo: profundizar la democracia y aprender el valor de lo público. https://t.co/dUg6YsGcjA",UP,Yolanda Díaz Pérez,2021-07-21 18:21:17+00:00,0,1,1,1,1,1,,1
1407041211324641281,"A l’espera de conèixer els detalls seria una bona notícia , però cal recordar que des del gener que el @Pdemocratacat al @Congreso_Es ho havíem demandat , i havíem presentar un proposició no de llei. Com altres qüestions arriba tard , i sense voler fer cas altres grups https://t.co/Y9TH7nJk4Z",Junts,Ferran Bel Accensi,2021-06-21 18:22:20+00:00,0,-1,-1,-1,-1,-1,,-1
1362048518819610628,Importante saber que el @PSOE vota en contra de los propietarios y arrendadores y defiende a los okupas. Si les tocara a ellos... https://t.co/90cZPrCbaF,PP,Teresa Jiménez-Becerril,2021-02-17 14:37:27+00:00,-1,-1,-1,-1,-1,-1,,-1
1367802272957280260,"¿Reconoce el gobierno las graves carencias en el cumplimiento de los
derechos fundamentales de los niños y las niñas migrantes?

¿Qué está haciendo para acabar con dichas carencias?",ERC-Sob,Maria das Graças Carvalho Dantas,2021-03-05 11:40:49+00:00,-1,-1,-1,-1,-1,-1,,-1
